# DOI: 10.1021/jacs.2c06357; energies shifted by 2099 Hartree
R,E_var,E_pt,E_extrap
1.50,-0.8761,-0.8901,-0.8928
1.55,-0.8907,-0.9053,-0.9084
1.60,-0.8984,-0.9137,-0.9173
1.68,-0.9019,-0.9185,-0.9229
1.80,-0.8981,-0.9165,-0.9221
2.00,-0.8889,-0.9101,-0.9178
2.25,-0.8827,-0.9046,-0.9126
2.50,-0.8813,-0.9020,-0.9096
2.75,-0.8775,-0.8973,-0.9049
3.00,-0.8722,-0.8909,-0.8984
3.25,-0.8658,-0.8840,-0.8908
